DATA,LABEL
Data deduplication mechanisms eliminate duplicate records and optimize storage efficiency,25
The system should provide mechanisms for data governance to ensure data quality and compliance,25
Query performance optimization requires continuous performance monitoring and tuning,25
The system has the capability for a user to associate laboratory orders with a charge code,25
The system should provide mechanisms for data replication and synchronization across multiple nodes,25
 1  Bibliographic citation of the intervention clinical research or guideline,25
System Development Life Cycle,25
OpenEMR also contains a builtin address book for storing useful contact information for your staff as well as other doctors clinics etc that your office may contact on a regular basis,25
The solution should provide medication on hold or discontinued in a daily report,25
Facilitate efficient data import and export operations in the database design,25
The solution should allow CCHCS to prioritize  or  rank the importance of the interaction possibly and possibly warning,25
Implement data partitioning strategies to enhance query performance and scalability aligning with nonfunctional requirements for performance and scalability,25
Implement a feature to facilitate the documentation and tracking of patient laboratory and radiology appointments,25
Optimize indexing and query processing for complex data aggregation queries in the database design,25
Incorporate data replication strategies for redundancy and disaster recovery addressing nonfunctional requirements for data resilience and continuity,25
The solution should facilitate the tracking and reporting of patient satisfaction surveys and feedback,25
The solution should automatically determine location of label printing eg satellite vs main pharmacy based on inmate classification possibly and possibly location,25
The system has the ability to support the notification of forwarded items including items that can be proxied individually to selected users,25
Incorporate data sharding techniques to distribute data across multiple database instances,25
The system has the capability to include a spell checker within the progress notes data entry module,25
Implement data compression techniques to optimize storage utilization and reduce disk IO,25
The system has the ability to write custom reports for forms query eg list all the CLIP forms for patients seen in the last month,25
The system also needs to integrate into clinical systems ED Scheduling etc,25
If related patients register with any identical data then the solution should provide the ability to propagate that data to all their records,25
The system has the capability for frontend speech recognition integrated into documentation tools,25
The solution should allow for frequency by hour or bottle IV entry method,25
The solution should provide the ability through a controlled method to merge or link dispersed information for an individual patient upon recognizing the identity of the patient,25
Implement mechanisms for data deduplication and compression to optimize storage utilization,25
The solution should provide special order scheduling,25
The system shall provide the ability to identify the full content of a modified note both the original content and the content resulting after any changes corrections clarifications addenda etc to a finalized note,25
Incorporate workload isolation mechanisms for resource efficiency and performance meeting nonfunctional requirements for resource management,25
The system has the capability to register a large number of patients who arrive at the ER QuickReg as a result of a disaster involving casualties eg train accident earthquake etc,25
This could include the capability to prompt a physician if the selected EM code is not consistent with the documentation in the encounter note,25
Design the database schema to support polymorphic associations and inheritance,25
Subject to paragraph c of this section more than 40 percent of all clinical lab tests results ordered by the EP during the EHR reporting period whose results are either in a positive or  negative or numerical format are incorporated in certified EHR technology as structured data,25
Implement a feature to facilitate the documentation and tracking of patient immunization history and vaccination schedules,25
Enhance data security with comprehensive data encryption and tokenization methods,25
The system shall provide the ability to prescribe fractional amounts of medication eg 1 or 2 tsp 1 or 2 tablet,25
The system has the capability to purge or archive lab orders,25
EHR technology must automatically and electronically check whether a drug formulary or preferred drug list exists for a given patient and medication,25
The system should provide the ability to document and track patient psychiatric evaluations and treatment plans,25
The system should enforce data validation rules to maintain data integrity,25
Ensure compatibility with cloudbased services and platforms,25
The system has the ability for Pathologist to view all reports pending signature for their own reports,25
The system has the functionality to assist users in the prevention of generating duplicate patient records for example through matching algorithms for names address information and other demographic indicators,25
The solution should provide the ability to capture data relevant to standard assessment,25
The solution should provide a link between medication administration and dispensing to manage inventories on the site level,25
EHR technology must be able to electronically export a data file formatted in accordance with the standards specified at  170205h that includes all of the data captured for each and every CQM to which EHR technology was certified under paragraph c1i of this section,25
The solution should provide the ability to manage workflow task routing to multiple individuals or roles in succession possibly and possibly in parallel,25
The solution should automatically suspend order processing and provide online notification if any interaction occurs,25
The database schema must be properly normalized to minimize redundancy and improve data integrity,25
The solution should provide the ability to report demographic data,25
The system has the capability for clinical views of order sets ie by care venues Inpatient and Ambulatory specialty or treatment plan,25
The Fee Sheet is different from most other forms in that it enters and modifies billing information that is stored elsewhere in the system it is not really an encounter form and when used it will not appear in the encounters list of forms,25
The solution should provide a process to quickly order backordered discontinued drugs etc from another vendor or manufacturer,25
Implement a feature to facilitate the documentation and tracking of patient falls risk assessments and prevention strategies,25
The solution should generate timely notifications to patients including services tests or actions that are due or overdue,25
Design the database schema to support hierarchical data storage,25
Incorporating data masking techniques to safeguard sensitive information aligned with nonfunctional requirements for data security,25
The solution should conform to function DC2311 Support for Drug Interaction Checking and check and report allergies drugdrug interactions and other potential adverse reactions when new medications are ordered,25
Provide mechanisms for data anonymization and pseudonymization to protect privacy,25
Ensure that the database design allows for seamless data replication and failover,25
Implement data tiering strategies to optimize storage costs based on data access patterns,25
The system has the capability to inform the clinician of recommended or required immunizations based on patient risk factors and other criteria as identified in widely accepted immunization schedules and recommendations,25
Each appointment request is listed as being pending approved or rejected,25
The system has the capability to import inpatient medication profile for medication reconciliation,25
Provide mechanisms for data replication and synchronization across hybrid environments,25
The Issues list can be found on the righthand side of the Patient Summary page,25
The system has the ability to support deficiency modules interhospital chart requests suspension process and release of information,25
The solution should provide standing order functionality with separate predefined fields for all orders,25
The solution should provide documentation templates for data exchange,25
Provide mechanisms for data validation and sanitization to prevent input errors,25
Incorporate advanced indexing techniques to accelerate query processing in the database design,25
Implement workload management policies to prioritize critical database operations,25
Incorporate mechanisms for data versioning and change tracking to ensure data lineage,25
The solution should provide the ability to access evidence based healthcare recommendations with documentation of sources,25
The solution should display clinical information whether medical or dental during the order entry process,25
Access control mechanisms need to be implemented to restrict unauthorized users from accessing the database,25
Incorporate machine learning algorithms for automated query optimization and tuning,25
The solution should prepare purchase orders based on inventory levels usage and other reorder criteria,25
Support efficient indexing and query optimization for spatial data queries,25
Provide mechanisms for data encryption and decryption to ensure data integrity,25
How satisfied were you with the treatment or information you received,25
Implement policies for data lifecycle management including archival and deletion meeting nonfunctional requirements for compliance and governance,25
Enable efficient data compression and deduplication to minimize storage costs,25
 Capability to enter free text medications,25
Provide comprehensive workload statistics reports including details on medication preparations and order volumes,25
The solution should allow for automatic profiling IV entry method,25
The EP who receives a patient from another setting of care or provider of care or believes an encounter is relevant should perform medication reconciliation,25
Facilitating efficient data aggregation and reporting with a welldesigned schema addressing nonfunctional requirements for performance,25
The system shall provide the ability to retrieve indexed scanned documents based on document type and date,25
The solution should maintain list of all staff physicians and include their DEA number,25
The system has capability to support the creation of patient identifying bar code on face sheets patient labels and identification cards with pictures,25
Integrate realtime monitoring and alerting for proactive management aligning with nonfunctional requirements for system availability,25
Sensitive data during database operations should be protected through data masking techniques,25
The system has the ability to flag or identify patients that meet criteria for clinical studies,25
The system shall provide the ability to create provider specific medication lists of the most commonly prescribed drugs with a default route dose frequency and quantity,25
The solution should provide appropriate cautionary information for auxiliary labeling,25
The system shall provide the ability to link the results to the original order,25
The system shall provide drugdiagnosis interaction alerts at the time of medication prescribing or ordering,25
The system has the capability for the critical care solution to support IV drip conversions from within the flow sheet view,25
The solution should conform to function DC1131 Capture Data and Documentation from External Clinical Sources and capture scanned paper consent and authorization documents,25
Varicella 90396 two doses at age 12 months at age 4 years catch up schedule at least 3 months between dose 1 and dose 2,25
Support graph data modeling for complex relationships and network analysis aligning with nonfunctional requirements for advanced analytics and insights,25
In practice many insurance companies have multiple insurance plans with a separate billing address for each plan,25
Fulltext search capabilities should be provided to enable efficient textbased queries,25
Implement mechanisms for data encryption and decryption to protect data privacy,25
Prioritize critical operations and queries with effective workload management policies,25
The solution should provide the ability to document and track patient neurologic assessments and interventions,25
After the patient logs in an activity feed is displayed ,25
The system shall provide the ability to create and display a summary list for each patient that includes at a minimum the active problem or diagnosis list current medication list medication allergies and adverse reactions The system shall provide the ability to create clinical documentation or notes henceforth documentation,25
Incorporate a feature to support the documentation and tracking of patient symptoms and chief complaints,25
The system has a scheduling or registration product that can add a Newborn scenario including during a downtime scenario,25
The system shall provide the ability to maintain the resolution date of the problem or diagnosis,25
Implement proper indexing strategies to optimize database performance for common query patterns,25
Implement inmemory caching for rapid data access and processing aligned with nonfunctional requirements for realtime responsiveness,25
The solution should provide the ability to capture clinical decision support prompts and user decisions to accept or override those prompts,25
The system has the ability to calculate acuity scores,25
Develop a mechanism to monitor and manage patient care plans and treatment goals over time,25
The solution should provide the ability to to notify public health authorities or other external authoritative sources of a health risk within a cared for population in accordance with scope of practice organizational policy and jurisdictional law,25
Ensure data integrity and consistency through rigorous validation mechanisms,25
The solution should capture user and date stamp for all prescription related events,25
The SOAP form will contain a subjective  objective record of the patients vital information as well as any notes on the assessment of the patients health and suggested treatment plans,25
The solution should dynamically reassign workflow according to business rules,25
The proposed EHR System is integrated across the Inpatient and Outpatient continuum of care through workflows document types and result displays,25
Incorporate a feature to support the documentation and tracking of patient newborn screenings and infant vaccinations,25
The solution should provide the ability to indicate that advance directives exist for the patient,25
Optimize query execution with streamlined indexing and processing while meeting nonfunctional requirements for response time and throughput,25
The solution should conform to function DC2312 Support for Patient Specific Dosing and Warnings and check and report other potential adverse reactions when new medications are ordered,25
Implement data partitioning strategies to enhance query performance and scalability meeting nonfunctional requirements for efficient data retrieval,25
The solution should provide the ability to filter results by factors that supports results management such as type of test and date range,25
Entering a Specialty will allow you to narrow your search parameters when writing letters to a particular physician etc,25
Ensure that the database design allows for efficient data import and export operations,25
Enable efficient data compression and deduplication to reduce storage overhead,25
The solution should provide the ability to represcribe medication by allowing a prior prescription to be reordered without reentering previous data eg administration schedule quantity,25
The solution should provide the ability to notify patients directly or indirectly who are described by the health risk alert,25
The solution should provide the ability to capture documentation of communications between providers and patients and or  or the patient representatives,25
Optimize storage layouts for efficient organization and retrieval addressing nonfunctional requirements for storage efficiency and performance,25
Select Billing Status  Unbilled in the Current Criteria list and click the red X to remove it from the list or select Billing Status under Choose Criteria and select All,25
The solution should maintain pharmacy formulary that includes trade names or synonyms for each medication,25
The system has the capability to auto translate based on documentation entered prompt for additional supporting documentation and prompt for pertinent documentation eg present on admission for optimal Medical Records coding,25
Ensure that the database design supports fulltext search and advanced querying capabilities,25
The solution should provide the ability to check for duplicate therapies,25
Facilitate data migration and data archiving processes in the database design,25
The solution should provide the ability to modify the established criteria that trigger the alerts,25
The Operations Management  Communication capabilities should conform to the IN 24 Extraction of Health Record Information requirements when used to extract data for analysis and reporting to support data extraction across the complete health record for an individual,25
Optimize database performance by finetuning caching strategies for frequent data access patterns,25
The system has the capability to link orderable to scheduling appointments which can create the order in future status until appointment checkin  Orders to Scheduling  The system has the capability to support Radiology procedures that need to be scheduled and are ordered in Electronic Health Record product,25
The system has the ability to support Content Code Sets including Admission Sources Admit Mode Admission Types Race Codes Accident Codes Discharge Dispositions Hospital Services Language Marital Status Religion Provider Specialty,25
The solution should allow order entry of orders from a centralized location for multiple locations institutions,25
The Support for Standard Care Plans Guidelines Protocols capability should conform to function DC161 Present Guidelines and Protocols for Planning Care and provide the ability to access standard care plans protocols and guidelines when requested within the context of a clinical encounter,25
Support data versioning and historical tracking to maintain data lineage and history,25
The solution should have a standard bidirectional  interfaces with  automated  preparation and dispensing technologies such as automated dispensing cabinets robotic IV automation devices and automated packaging systems,25
The system should provide mechanisms for data replication to ensure high availability,25
Subject to paragraph c of this section more than 50 percent of all unique patients 13 years old or older or admitted to the eligible hospitals inpatient or emergency department POS 21 or 23 have smoking status recorded as structured data,25
Implement data encryption at rest and in transit to protect data privacy and confidentiality,25
Ensure data availability with robust network connectivity and failover mechanisms addressing nonfunctional requirements for system availability,25
The Support for Research Protocols Relative to Individual Patient Care capability should conform to function S331 Enrollment of Patients to enable participation in research studies,25
Provide mechanisms for data deduplication and compression to optimize storage usage,25
The solution should track prices based on AWP Bid or MAC price,25
The solution should provide the ability to capture and manage patient consent preferences for sharing health information,25
Capability to submit electronic data to immunization registries or immunization information systems and actual submission according to applicable law and practice,25
The system has the ability to upload historical information from both internal and external sources,25
The system has the capability to periodically remind provider of unsigned orders,25
Provide mechanisms for data anonymization and pseudonymization to ensure data privacy,25
The solution should capture the complaint presenting problem or other reasons for the visit or encounter,25
The system shall provide the ability to receive and store general laboratory results using the HL7 v251 ORU message standard,25
Implement automated data retention and purging for compliance with regulations and policies meeting nonfunctional requirements for data lifecycle management,25
The system has the capability to support an integrated Enterprise Eligibility Management verification process that provides the ability to perform a single eligibility verification status inquiry for a patient or subscriber or dependent that verifies if insurance will cover the medical service to be rendered prior to performance to ensure reimbursement to respective providers,25
Implement mechanisms for data encryption and decryption to enhance data security in the database design,25
The system shall provide the ability to access reference information for prescribing or ordering,25
The system has the ability to support disaster or mass casualties and disaster triage,25
2 Enable a user to create an electronic copy of a patients discharge summary in human readable format and on electronic media or through some other electronic means,25
Maintain comprehensive data lineage and metadata for governance and compliance meeting nonfunctional requirements for data governance,25
The eligible hospital or CAH who receives a patient from another setting of care or provider of care or believes an encounter is relevant should perform medication reconciliation,25
Enable efficient hierarchical data storage and querying with a wellstructured schema,25
Optimize indexing and query processing for pattern recognition and complex queries in the database design,25
 who or when analyzed risk of chronic disease for the patient other then DLHCP,25
The solution should provide the ability to capture a report of No Known Drug Allergies NKDA for the patient,25
Support multilevel data analysis capabilities with a flexible and scalable database design,25
Incorporating advanced indexing techniques to enhance query performance while meeting nonfunctional requirements for scalability,25
The solution should provide the ability to capture the source date and time of all updates to the problem list,25
Incorporate advanced indexing techniques to enhance query performance while meeting nonfunctional requirements for scalability,25
The system shall provide the ability to display on demand potential drugallergy interactions drugdrug interactions and drugdiagnosis interactions based on current medications active allergies and active problems,25
The solution should conform to function DC2311 Support for Drug Interaction Checking and check and report allergies drugdrug interactions and other potential adverse reactions when new medications are about to be given,25
Prioritize critical operations with effective workload management,25
The system shall provide the ability to indicate when advance directives were last reviewed,25
Enhancing data security with robust encryption and access controls meeting nonfunctional requirements for data confidentiality,25
The database should provide mechanisms for automated data backup and disaster recovery,25
The solution should automatically check for inappropriate administration schedule eg TID for extend release during the order entry process,25
Support efficient indexing and query optimization for temporal data analysis,25
The solution should provide the ability to present current clinical tasks as work lists,25
Incorporate mechanisms for data anonymization and pseudonymization to protect privacy in the database design,25
The solution should accept the transmission of prescription data from EMR systems,25
The system has the ability to integrate body part diagrams into Anatomical Pathology Reports,25
Design the database schema to support finegrained access control for data protection,25
Database auditing features track changes to maintain data integrity,25
The system shall provide the ability to create sitespecific care plan protocol and guideline documents,25
Incorporate efficient data partitioning and distribution for scalable performance,25
The solution should provide the ability to update decision support rules,25
departmental documentation tasks including single and multipatient task lists utilized to support Nursing and departmental processing,25
The referral is now in the Patient Transactions list,25
The solution should conform to function DC142 Manage Medication List and update the appropriate medication list with the prescribed medications in case of multiple medication lists,25
The system has the capability to assign and display an order number for active hold and pending orders,25
The solution should provide the ability to identify an appropriate drug dosage range specific for each known patient condition and parameter at the time of medication ordering,25
The system has the capability to support default schedules utilizing more than one slot type that is used to predefine the use of time for a resource,25
Click the Sent Items tab to view any patient notes that have been addressed to others,25
Support efficient indexing and query optimization for hierarchical data queries,25
If faxing is utilized then the scanned image should go directly into the pharmacy system and into the appropriate order entry work queue,25
The system has the capability to address Chart Lock functionality for medication orderings,25
The solution should notify the provider in realtime of a variation between the type of specimen order placed and the actual specimen received,25
Support graph data modeling for complex relationships and network analysis,25
Implement streaming data processing for realtime analytics and insights,25
The appointments in the list shall be ordered by appointment date and start time the soonest upcoming first,25
Develop a mechanism to monitor and manage patient clinical trial participation and research studies,25
The  interfaced solutions should send notifications to the Pharmacy system regarding inventory count,25
The solution should provide the ability to capture present maintain and make available for clinical decisions family preferences such as language religion spiritual practices and culture,25
The user interface shall be initially populated with the values of the filtering criteria from the previously saved filter,25
The system shall provide the ability to display medical eligibility obtained from patients insurance carrier populated either through data entry in the system itself or through an external application interoperating with the system,25
The database should support multiversion concurrency control to handle concurrent transactions,25
iv Capability to provide electronic syndromic surveillance data to public health agencies and actual transmission in accordance with applicable law and practice,25
 Functionality to include a unique task list for each defined position,25
The solution should provide the prescribing and ordering order communication dispensing administration monitoring formulary and inventory requirements of different types of inmate facilities including  housing units,25
i Enable a user to electronically record change and access patient demographic data including preferred language sex race ethnicity and date of birth,25
The system has the capability to prompt the provider to inform the parent or child that their immunization information will be shared with the registry and Integrated Decision Support,25
The system shall provide the ability to identify criteria for disease management preventive and wellness services based on clinical data problem or diagnosis list current medications lab values,25
Integrate realtime monitoring and alerting for proactive management meeting nonfunctional requirements for system availability and reliability,25
Design the database schema to support multidimensional data analysis capabilities in the database design,25
System functionality exists that allows the capture of additional information regarding requested appointment type such as reason for exam ICD9 or ICD10 codes referring physician etc,25
The system has the capability for integrated results with automatic notification and a single location to view all results,25
The solution should provide drug order status of hold,25
The number in the Prv column has also decreased,25
The system has the capability to support inventory control through the Retail Pharmacy,25
iii Electronically attribute associate or link a laboratory test and value or result with a laboratory order or patient record,25
The solution should provide the ability to generate instructions pertinent to the patient based on clinical judgment,25
ii For no fewer than 16 clinical quality measures covering at least 3 domains from the set selected by CMS for eligible hospitals and critical access hospitals,25
The solution should accept electronic updates of therapeutics dosing interaction and financial data for the drugs in the formulary,25
Provide mechanisms for data anonymization and pseudonymization to protect sensitive data,25
Enable data access through RESTful APIs and webbased interfaces,25
Incorporating workload isolation mechanisms for resource efficiency and performance aligned with nonfunctional requirements for resource management,25
The solution should provide the ability to access care and treatment plans that are sensitive to the context of patient data and assessments,25
Implement data obfuscation techniques for security,25
Design the database schema to support efficient data storage and retrieval,25
The system shall provide the ability to create patient specific instructions,25
The patient to whom the medication is to be administered matches the medication to be administered,25
The solution should print labels for controlled drug floor stock issues that include serial number,25
The solution deidentification capability should include FAX numbers,25
The solution should provide the ability for the user to whom a result is presented to acknowledge the result,25
The solution should generate inmate release medication summary,25
The solution should provide automated workflow in the distribution process with sequenced orders that guide staff through emergency highpriority routine and batch order fulfillment,25
Incorporate distributed consensus algorithms for data consistency,25
The system has the capability to address medication administration processing,25
The solution should support the prescribing and ordering order communication dispensing administration monitoring formulary and inventory requirements of different types of inmate care facilities including inpatient surgery facilities,25
The system has the capability to override the warning after entering a justification for the override,25
The solution should identify required order entry components for nonmedication orders,25
The system has capability for read back and verify of critical labs,25
The checkbox is used to control whether the note is active,25
The solution should provide the ability to indicate the name and relationship of the party completing the advance directive for the patient,25
Implement data caching mechanisms to improve query performance and response times,25
Optimize database configurations for fault tolerance and high availability addressing nonfunctional requirements for system reliability,25
The solution should provide the ability to present numerical and nonnumerical current and historical test results to the appropriate provider,25
Subject to paragraph c of this section more than 40 percent of all permissible prescriptions written by the EP are transmitted electronically using certified EHR technology,25
Implement data masking and tokenization techniques to anonymize sensitive information,25
The system has the capability to provide visual user alerts in the form of poups color codes etc at the point of data entry and when displaying information on the screen,25
The database should be able to handle large volumes of data efficiently without sacrificing performance,25
The solution should provide the ability to receive store and display scanned documents as images,25
Ensure that the database design follows principles of data normalization and denormalization,25
Incorporating data sharding to distribute data across nodes and improve scalability addressing nonfunctional requirements for distributed data management,25
MedicaidEPs predominantly practicing at FQHCs or RHCs are exempt from the hospitalbased provider exclusion in paragraph c of this section,25
The system shall provide the ability to update the clinical content or rules utilized to generate clinical decision support reminders and alerts,25
Develop a mechanism to monitor and manage patient blood transfusions and blood product administration,25
The system has the capability to support rolespecific applications for radiologists and other interpreting physicians to access exam report and other clinical information create reports using templates and to electronically sign reports within Radiology,25
Provide patients with an electronic copy of their discharge instructions at time of discharge upon request,25
The solution should support a reason for an alert override based on CCHCS criteria possibly and possibly alert level eg allows alerts to be customized according to the level of severity,25
